property_type,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,state,lat,lon
apartment,390000.0,0.0,200.0,Quintana Roo,21.1295466,-86.8170132
house,2000000.0,1332.0,619.0,Distrito Federal,19.3472426513,-99.1838417575
store,210795.91,600.0,280.0,Quintana Roo,21.1579193,-86.8238997
apartment,139968.48,0.0,64.0,Distrito Federal,19.365391,-99.18956
apartment,184446.42,0.0,106.0,Distrito Federal,19.3714480121,-99.149787426
apartment,625000.0,0.0,350.0,Distrito Federal,19.420166,-99.220367
house,158096.93,160.0,200.0,Quintana Roo,21.161908,-86.8515279
house,385000.0,360.0,220.0,Quintana Roo,20.613448043,-87.0964579575
apartment,310923.97,0.0,60.0,Distrito Federal,19.411472,-99.188522
apartment,1850000.0,400.0,400.0,Distrito Federal,19.396714267,-99.2374929786
apartment,60603.82,53.0,53.0,Distrito Federal,19.262049,-99.1138
apartment,995000.0,0.0,330.0,Distrito Federal,19.413143,-99.2305521
house,1028494.71,232.0,417.0,Distrito Federal,19.4326577,-99.1774462
house,342462.14,420.0,325.0,Distrito Federal,19.340202,-99.257774
apartment,117735.94,0.0,62.0,Distrito Federal,19.4306069,-99.0949899
apartment,720000.0,250.0,250.0,Distrito Federal,19.3929373,-99.2633141
apartment,426861.72,163.0,235.0,Distrito Federal,19.3864346,-99.1594925
apartment,1500000.0,0.0,350.0,Distrito Federal,19.371342,-99.253616
apartment,194986.21,60.0,60.0,Distrito Federal,19.4445115,-99.1895493
apartment,473816.51,157.0,157.0,Distrito Federal,19.394358,-99.177444
house,124369.58,0.0,0.0,Quintana Roo,20.6227211606,-87.0993175486
house,39524.23,160.0,180.0,Quintana Roo,21.161908,-86.8515279
apartment,73761.07,0.0,0.0,Distrito Federal,19.365156,-99.1138
apartment,71126.75,0.0,0.0,Distrito Federal,19.4535629028,-99.182510376
apartment,233851.71,125.0,125.0,Distrito Federal,19.394358,-99.177444
house,167582.75,85.0,142.0,Distrito Federal,19.2681974,-99.1307421
house,776086.39,149.0,429.0,Distrito Federal,19.357464,-99.207909
apartment,145000.0,88.0,88.0,Quintana Roo,20.6167183342,-87.0924425125
apartment,368892.84,165.0,165.0,Distrito Federal,19.4097609,-99.1686282
house,1500000.0,468.0,450.0,Quintana Roo,21.1117463016,-86.7666184902
house,658737.22,500.0,0.0,Distrito Federal,19.2831289,-99.2217537
house,342462.14,232.0,431.0,Distrito Federal,19.3073525,-99.1061901
apartment,263432.41,180.0,180.0,Quintana Roo,21.161908,-86.8515279
apartment,226605.6,0.0,136.0,Distrito Federal,19.394358,-99.177444
apartment,131747.44,0.0,100.0,Distrito Federal,19.3898619,-99.1674138
apartment,700000.0,410.0,410.0,Distrito Federal,19.390415,-99.254997
apartment,215000.0,0.0,51.0,Solidaridad,20.6295586,-87.0738851
house,3000000.0,1250.0,1200.0,Distrito Federal,19.320575,-99.20929
apartment,55333.92,98.0,98.0,Distrito Federal,19.3549174,-99.0993735
apartment,225504.19,0.0,65.0,Distrito Federal,19.358585,-99.185753
apartment,142287.24,119.0,119.0,Distrito Federal,19.3703820187,-99.1493282287
house,118572.7,160.0,290.0,Benito Juárez,21.1773896,-86.8179603
apartment,458372.4,360.0,270.0,Distrito Federal,19.3769448,-99.1651109
apartment,866400.0,152.0,152.0,Distrito Federal,19.432609,-99.1941739
apartment,36889.28,71.0,71.0,Distrito Federal,19.2818221685,-99.1876426712
apartment,905000.0,550.0,550.0,Quintana Roo,21.161908,-86.8515279
apartment,1215000.0,256.0,184.0,Distrito Federal,19.4368736,-99.1973268
house,9000000.0,1200.0,1600.0,Distrito Federal,19.3818873,-99.2202827
house,474178.35,187.0,307.0,Distrito Federal,19.358585,-99.185753
apartment,152827.03,147.0,147.0,Quintana Roo,21.161908,-86.8515279
apartment,230821.52,0.0,85.0,Distrito Federal,19.3943574,-99.1774462
apartment,169000.0,68.0,68.0,Quintana Roo,20.6369485603,-87.0677702129
apartment,263284.09,0.0,220.0,Quintana Roo,21.1517157163,-86.8185353279
apartment,163366.83,0.0,80.0,Distrito Federal,19.3499358,-99.2906864
store,128000.0,0.0,50.0,Quintana Roo,20.6148413173,-87.0929842048
apartment,332836.85,110.0,110.0,Distrito Federal,19.371342,-99.253616
apartment,892706.0,168.0,168.0,Distrito Federal,19.4330857,-99.2005645
apartment,139000.0,125.0,125.0,Solidaridad,20.630723,-87.073113
apartment,187081.37,100.0,100.0,Distrito Federal,19.3392293,-99.2189838
house,700730.23,490.0,725.0,Distrito Federal,19.5462484,-99.131088
apartment,39524.23,15.0,66.0,Distrito Federal,19.461416,-99.133163
apartment,374337.46,184.0,184.0,Distrito Federal,19.3023508,-99.1679459
apartment,163366.83,0.0,99.0,Distrito Federal,19.3747920646,-99.137270786
house,553339.27,0.0,250.0,Distrito Federal,19.381729,-99.164986
apartment,820000.0,30000.0,283.0,Quintana Roo,21.1902642,-86.8198375
house,2500000.0,1100.0,800.0,Distrito Federal,19.420166,-99.220367
store,65873.72,303.0,303.0,Quintana Roo,21.1463698,-86.8613971
apartment,516449.98,240.0,120.0,Distrito Federal,19.320576,-99.20929
house,242415.29,800.0,450.0,Quintana Roo,21.158964,-86.845937
apartment,31619.38,69.0,69.0,Distrito Federal,19.505199,-99.155991
house,674386.99,0.0,265.0,Distrito Federal,19.390415,-99.254997
apartment,57968.87,24.0,73.0,Distrito Federal,19.3883217,-99.1862188
house,129000.0,207.0,157.0,Quintana Roo,20.2088602,-87.4653115
house,226605.6,300.0,308.0,Distrito Federal,19.4615578,-99.130454
house,570000.0,0.0,450.0,Quintana Roo,20.628505,-87.079752
house,231875.5,240.0,388.0,Distrito Federal,19.462588021,-99.1328519441
apartment,99074.07,0.0,133.0,Distrito Federal,19.3152718515,-99.1075855494
apartment,474178.35,188.0,188.0,Distrito Federal,19.3634214999,-99.2763233185
house,83264.38,160.0,210.0,Quintana Roo,21.146414,-86.843369
apartment,79048.46,82.0,82.0,Quintana Roo,21.1902642,-86.8198375
house,4500000.0,4000.0,2000.0,Quintana Roo,20.8478084,-86.8755342
house,71670.61,117.0,117.0,Quintana Roo,20.6295586,-87.0738851
house,126447.56,190.0,280.0,Distrito Federal,19.476545,-99.066788
